,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK
283,27641,2060111300,2060035300,2060035600,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
284,27642,2060119500,2060037600,2060038200,0,0,107,000,-,È²»õ¿ï±æ,0,000,0,0,0,0,
285,27643,2060101300,2060031700,2060032700,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
286,27644,2060102300,2060032000,2060032400,0,0,107,000,-,ÃÊ¸²±æ,0,000,0,0,0,0,
287,27645,2060100300,2060031400,2060031700,0,0,107,000,-,ÃÊ¸²1±æ,0,000,0,0,0,0,
288,27646,2060112700,2060035600,2060036000,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
289,27647,2060114300,2060036000,2060036600,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
290,27648,2060114500,2060036100,2060036600,0,0,107,000,-,È²»õ¿ï4±æ,0,000,0,0,0,0,
291,27649,2060112900,2060035700,2060036000,0,0,107,000,-,È²»õ¿ï5±æ,0,000,0,0,0,0,
292,27650,2060116500,2060036600,2060037300,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
293,27651,2060111700,2060035600,2060035400,0,0,107,000,-,»õµ¿¾È±æ,0,000,0,0,0,0,
294,27652,2060111900,2060035400,2060035700,0,0,107,000,-,»õµ¿¾È1±æ,0,000,0,0,0,0,
295,27653,2060152300,2060048300,2060050000,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,
296,27654,2060156100,2060049500,2060050000,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,
297,27655,2060161500,2060051100,2060051000,0,0,107,000,-,¹éÈ­Á¡±æ,0,000,0,0,0,0,
298,27656,2060159500,2060050400,2060051700,0,0,107,000,-,¾ßÅ¾°ø¿ø1±æ,0,000,0,0,0,0,
299,27657,2060163100,2060051600,2060051700,0,0,107,000,-,¾ßÅ¾°ø¿ø±æ,0,000,0,0,0,0,
300,27667,2060129700,2060041600,2060041300,0,0,107,000,-,ÀÌ¸Å±æ,0,000,0,0,0,0,
301,27668,2060174500,2050003400,2050003900,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
302,27669,2060171100,2060054300,2060054100,0,0,107,000,-,Àå¹Ì·Î,0,000,0,0,0,0,
303,27670,2060165500,2060052200,2060054100,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
304,27671,2060165100,2060052400,2060052200,0,0,107,000,-,ÅÍ¹Ì³Î±æ,0,000,0,0,0,0,
305,27672,2060109500,2060035100,2060034600,0,0,107,001,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
306,27673,2060125400,2060039700,2060040500,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
307,27674,2060125500,2060040500,2060039700,1,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
308,27677,2060113400,2060038600,2060035800,0,0,106,002,385,¼º³²´ë·ÎÁöÇÏÂ÷µµ,0,000,0,0,0,0,
309,27679,2060132600,2060043100,2060042200,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
310,27680,2060132700,2060042200,2060043100,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
311,27685,2060092900,2060029000,2060030100,0,0,107,000,-,¸¶·çµé±æ,0,000,0,0,0,0,
312,27687,2060112200,2040004800,2060035500,0,0,102,000,-,ºÐ´ç-³»°î°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
313,27688,2060112300,2060035500,2040004800,0,0,102,000,-,ºÐ´ç-³»°î°£°í¼ÓÈ­µµ·Î,0,000,0,0,0,0,
314,27689,2060112000,2060035500,2060036200,0,0,102,000,-,ºÐ´ç¼ö¼­°£µµ½Ã°í¼ÓÈ­µµ·Î,0,102,0,0,0,0,
315,27690,2060107600,2060035500,2060034100,0,0,102,000,-,ºÐ´ç¼ö¼­°£°í¼ÓÈ­µµ·Î,0,107,0,0,0,0,
316,27691,2060105400,2060034000,2060033200,0,0,107,000,-,ÅºÃµÁß·Î,0,000,0,0,0,0,
317,27692,2060105100,2060033200,2060033600,0,0,107,000,-,¼ö³»·Î,0,000,0,0,0,0,
318,27693,2060105200,2060033600,2060033200,0,0,107,000,-,¼ö³»·Î,0,000,0,0,0,0,
319,27694,2060106300,2060033600,2060034700,0,0,107,003,-,¼ö³»·Î,0,000,0,0,0,0,
320,27695,2060109600,2060034700,2060035500,0,0,102,000,-,ºÐ´ç¼ö¼­°£µµ½Ã°í¼ÓÈ­µµ·Î,0,102,0,0,0,0,
321,27696,2060109700,2060035500,2060034700,0,0,102,000,-,¼ö³»·Î,0,000,0,0,0,0,
322,27697,2060146500,2060046300,2060047800,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
323,27698,2060176200,2050001700,2050004500,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
324,27699,2060176300,2050004500,2050001700,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
325,27702,2060105800,2060033400,2060035100,0,0,107,000,-,-,0,000,0,0,0,0,
326,27704,2060111000,2060035200,2060036800,0,0,107,000,-,-,0,000,0,0,0,0,
327,27705,2060111100,2060036800,2060035200,0,0,107,000,-,-,0,000,0,0,0,0,
328,27709,2060137800,2060044600,2060043700,0,0,107,000,-,ÅºÃµÁÂ·Î,0,000,0,0,0,0,
329,27710,2060136000,2060043700,2060043300,0,0,107,000,-,ÅºÃµÁÂ·Î,0,000,0,0,0,0,
330,27711,2060132800,2060042300,2060042400,0,0,107,003,-,¹æ¾Æ´Ù¸®±æ,0,000,0,0,0,0,
331,27712,2060129400,2060041400,2060041200,0,0,107,000,-,ÀÌ¸Å±æ,0,000,0,0,0,0,
332,27713,2060152400,2060048800,2060048400,0,0,107,003,-,¹ø¿µ·Î,0,000,0,0,0,0,
333,27714,2060166000,2060054300,2060052400,0,0,107,000,-,ºÀ»ç±æ,0,000,0,0,0,0,
334,27715,2060156200,2060051100,2060049500,0,0,107,000,-,ºÀ»ç±æ,0,000,0,0,0,0,
335,27727,2060162800,2060053200,2060051500,0,0,107,000,-,»óÈñ°ø¿ø±æ,0,000,0,0,0,0,
336,27728,2060162600,2060051500,2060051900,0,0,107,000,-,¸ÅÈ­¸¶À»±æ,0,000,0,0,0,0,
337,27729,2060166600,2060052700,2060052800,0,0,107,000,-,¸ÅÈ­¸¶À»±æ,0,000,0,0,0,0,
338,27730,2060167000,2060052800,2060052900,0,0,107,000,-,¸ÅÈ­¸¶À»±æ,0,000,0,0,0,0,
339,27731,2060167200,2060053700,2060052800,0,0,107,000,-,Å¾°ñ2±æ,0,000,0,0,0,0,
340,27732,2060166800,2060053500,2060052700,0,0,107,000,-,Å¾°ñ1±æ,0,000,0,0,0,0,
341,27733,2060138800,2060044100,2060044200,0,0,107,000,-,ÇÏÅ¾·Î,0,000,0,0,0,0,
342,27734,2060139000,2060044200,2060044700,0,0,107,000,-,ÇÏÅ¾·Î,0,000,0,0,0,0,
343,27742,2060155000,2060050500,2060049100,0,0,107,000,-,Å¾°ñ1±æ,0,000,0,0,0,0,
