,OBJECTID,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,ID½Å±ÔºÎ¿©,latitude,longitude
271,38188,2060027500,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37528574528034,127.12176782411098
272,38189,2060007400,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.34224643278287,127.11609191859827
273,38190,2060006700,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.34044671403444,127.1161168558989
274,38191,2060005800,101,¹«Áö°³»ç°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.338143463982476,127.11613676149261
275,38192,2060010300,101,ÇÏ¾á¸¶À»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.34654277650395,127.11607163708788
276,38193,2060029100,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3772079328034,127.11031851218854
277,38194,2060027800,101,Á¤ÀÚ»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37545530795239,127.11224569904266
278,38195,2060026100,101,¹é±Ã»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37367924497062,127.10980432481824
279,38196,2060025100,101,¹é±Ã»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37239068287721,127.10808010595281
280,38197,2060020000,101,±Ã³»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3685025890893,127.10801666777684
281,38198,2060015000,101,±Ý°î±³»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.363442932305986,127.10807719934405
282,38199,2060013600,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.359940432730696,127.11479966838522
283,38200,2060013300,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.359927870101274,127.10594741771968
