,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
47,2060101600,2060032600,2060031900,0,0.0,107,¼­ÇöÁß¾Ó±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060032600,OEXT2060031900,91.6127821595
48,2060095200,2060030800,2060029900,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060030800,OEXT2060029900,372.585457204
49,2060126800,2060041000,2060040200,0,0.0,107,±¸·¿µé±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060041000,OEXT2060040200,236.725765119
50,2060126500,2060040000,2060040200,0,0.0,107,±¸·¿µé±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060040000,OEXT2060040200,175.552426122
51,2060123000,2060002500,2060038900,0,0.0,107,È²»õ¿ï±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060002500,OEXT2060038900,78.9656150116
52,2060120200,2060038300,2060037900,0,0.0,107,ÅºÃµÁß·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038300,OEXT2060037900,85.0124577185
53,2060120400,2060038400,2060037900,0,0.0,107,È²»õ¿ï2±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038400,OEXT2060037900,74.8935041335
54,2060118600,2060037900,2060037400,0,0.0,107,È²»õ¿ï2±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060037900,OEXT2060037400,74.1337339028
55,2060110000,2060038000,2060034800,0,0.0,107,»õµ¿¾È±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038000,OEXT2060034800,620.690842383
56,2060111200,2060035600,2060035300,0,0.0,107,ÅºÃµÁß·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060035600,OEXT2060035300,74.5747937824
57,2060119400,2060038200,2060037600,0,0.0,107,È²»õ¿ï±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038200,OEXT2060037600,118.924164103
58,2060101200,2060032700,2060031700,0,0.0,107,ÅºÃµÁß·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060032700,OEXT2060031700,178.930614971
59,2060102200,2060032400,2060032000,0,0.0,107,ÃÊ¸²±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060032400,OEXT2060032000,74.9851191935
60,2060100200,2060031700,2060031400,0,0.0,107,ÃÊ¸²1±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060031700,OEXT2060031400,82.7034477334
61,2060096200,2060030900,2060030100,0,0.0,107,ÃÊ¸²2±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060030900,OEXT2060030100,83.0470414159
