,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,len
40,2060155500,2060049300,2060051400,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,,5,,,OEXT2060049300,OEXT2060051400,OEXT2060155500,,sn_si-kg,206,00000,,0.00184234945286
41,2060085300,2060001300,2060027400,0,0,107,000,-,È¿Çà2±æ,0,000,0,0,0,0,,5,,,OEXT2060001300,OEXT2060027400,OEXT2060085300,,sn_si-kg,206,00000,,0.000514094707331
42,2060067400,2060000800,2060021400,0,0,107,000,-,µ¿¹®±æ,0,000,0,0,0,0,,5,,,OEXT2060000800,OEXT2060021400,OEXT2060067400,,sn_si-kg,206,00000,,0.00254293537568
43,2060083300,2060001200,2060026600,0,0,107,000,-,ÃÊ¿ø±æ,0,000,0,0,0,0,,5,,,OEXT2060001200,OEXT2060026600,OEXT2060083300,,sn_si-kg,206,00000,,0.000662791523754
44,2060075100,2060023600,2060001000,0,0,107,000,-,Àå¾È±æ,0,000,0,0,0,0,,5,,,OEXT2060023600,OEXT2060001000,OEXT2060075100,,sn_si-kg,206,00000,,0.00278188337813
45,2060072400,2060022600,2060000900,0,0,107,000,-,¼¼Áý±æ,0,000,0,0,0,0,,5,,,OEXT2060022600,OEXT2060000900,OEXT2060072400,,sn_si-kg,206,00000,,0.00231242174087
46,2060058700,2060000700,2060019000,0,0,107,000,-,ºÐ´ç·Î,0,000,0,0,0,0,,5,,,OEXT2060000700,OEXT2060019000,OEXT2060058700,,sn_si-kg,206,00000,,0.0031726552147
47,2060159900,2060050500,2060052700,0,0,107,000,-,Å¾°ñ1±æ,0,000,0,0,0,0,,5,,,OEXT2060050500,OEXT2060052700,OEXT2060159900,,sn_si-kg,206,00000,,0.00170637269731
48,2060160500,2060050600,2060052900,0,0,107,000,-,¼Û¸²·Î,0,000,0,0,0,0,,5,,,OEXT2060050600,OEXT2060052900,OEXT2060160500,,sn_si-kg,206,00000,,0.00178670779843
49,2060086300,2060027000,2060027500,0,0,107,000,-,³»Á¤·Î,0,000,0,0,0,0,,5,,,OEXT2060027000,OEXT2060027500,OEXT2060086300,,sn_si-kg,206,00000,,0.000966677314996
50,2060117500,2060037000,2060040300,0,0,107,000,-,µ¹¿î¸®±æ,0,000,0,0,0,0,,5,,,OEXT2060037000,OEXT2060040300,OEXT2060117500,,sn_si-kg,206,00000,,0.0151716250777
