,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
0,2060365201,2060029100,2060109701,6,107,000,-,¹éÇö·Î,0,0,000,50,0,0.0,0,131.564860430132,
1,2060365301,2060109701,2060029100,3,107,000,-,¹éÇö·Î,0,0,000,50,0,0.0,0,132.046393362333,
2,2060365001,2060109701,2060027800,3,107,000,-,¹éÇö·Î,0,0,000,50,0,0.0,0,126.72959648401,
3,2060365101,2060027800,2060109701,3,107,000,-,¹éÇö·Î,0,0,000,50,0,0.0,0,126.708943054545,
4,2060363501,2060110301,2060110501,2,107,000,-,-,0,0,000,60,0,0.0,0,609.08746837726,µµ·Î¸í¾øÀ½
5,2060363601,2060110501,2060110301,2,107,000,-,-,0,0,000,60,0,0.0,0,660.174646294103,µµ·Î¸í¾øÀ½
6,2060363101,2060110301,2060110201,2,107,000,-,-,0,0,000,60,0,0.0,0,153.787993908274,µµ·Î¸í¾øÀ½
7,2060363201,2060110201,2060110301,2,107,000,-,-,0,0,000,60,0,0.0,0,155.052007403968,µµ·Î¸í¾øÀ½
8,2060362901,2060110201,2060110101,2,107,000,-,-,0,0,000,40,0,0.0,0,285.659325070966,µµ·Î¸í¾øÀ½
9,2060363001,2060110101,2060110201,2,107,000,-,-,0,0,000,40,0,0.0,0,285.352961260261,µµ·Î¸í¾øÀ½
10,2060362701,2060110201,2060110001,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,359.890688127675,
11,2060362801,2060110001,2060110201,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,345.059662364237,
12,2060362401,2060110001,2060109901,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,225.634142026039,
13,2060362301,2060109901,2060110001,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,226.310773152553,
14,2060362201,2060109901,2060099900,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,389.244822479522,
15,2060362101,2060099900,2060109901,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,386.570945467101,
16,2060361901,2060099900,2060100100,1,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,295.876065012911,
17,2060362001,2060100100,2060099900,1,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,298.483180338439,
18,2060362501,2060109901,2060110101,2,107,000,-,-,0,0,000,40,0,0.0,0,641.118390194202,µµ·Î¸í¾øÀ½
19,2060362601,2060110101,2060109901,2,107,000,-,-,0,0,000,40,0,0.0,0,602.367389144087,µµ·Î¸í¾øÀ½
20,2060363301,2060110201,2060110401,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,289.386638043276,
21,2060363401,2060110401,2060110201,2,107,000,-,µÎ¹Ð·Î,0,0,000,60,0,0.0,0,286.120471088226,
