,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,ID½Å±ÔºÎ¿©,latitude,longitude
109,2060054100,101,Àå¹Ì»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.413817495301316,127.12870688676901
110,2060050000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.4098637456093,127.12716766833762
111,2060049900,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.40985105797415,127.12786604315465
112,2060051000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41134768271564,127.12719144911
113,2060048300,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.409060307496134,127.12494360538892
114,2060050400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41072774496729,127.13045401226589
115,2060051700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41197021410875,127.13165035607972
116,2060054300,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.41382455767723,127.12599735539982
117,2060052000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.41233318227842,127.1233172930149
118,2060052400,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.41234224474647,127.12599198105136
119,2060049500,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40980943285399,127.12595816834175
120,2060048800,101,¾ßÅ¾±³»ç°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40955268270989,127.12474644971849
121,2060048000,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40868087004213,127.12322141809204
122,2060045300,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40595418230657,127.12354998089882
123,2060044600,101,¾Æ¸ª»ç°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.405410870392416,127.12357182453161
124,2060044500,101,Å¾°ñ»ç°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.405407526713134,127.12540457447881
125,2060043700,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40488430745171,127.12357160599629
126,2060043300,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40365196377701,127.12355769977978
127,2060042400,101,¹æ¾Æ´Ù¸®»ç°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.399203651720086,127.12358048050612
128,2060042300,101,¹°¹æ¾Æ»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.399200870117056,127.12541482405197
129,2060041400,101,ÀÌ¸Å±³»ç°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.394714901648115,127.123544449169
130,2060041600,101,¾È¸»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.39472146400101,127.12534679303849
131,2060048400,101,Å¾»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40915833899328,127.12297898065799
132,2060049600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.409811276464154,127.13041866801086
133,2060054200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41382318261384,127.13046976209262
134,2060051200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.411350869912894,127.12398107451088
135,2060051100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41135055784815,127.12599641830627
136,2060043000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.40111246362659,127.12359473026368
137,2060042800,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.3997135268412,127.12357726183257
138,2060051600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.411960870152825,127.13045448081266
139,2060041200,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.393409463776834,127.12294551148932
140,2060048900,103,-,0,,sn_si-kg,5,999,,,00000,206,,37.40955815148715,127.13222941784329
141,2060053900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.413439276428676,127.13288216825515
142,2060053000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41262612024161,127.13284257470355
143,2060051800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.41208902623998,127.1328382615551
144,2060046300,104,ÇÏÅ¾ÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.40744371409528,127.1286792928712
145,2060041500,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.39471933890303,127.12052063712622
146,2060042600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.39924465181139,127.11996801183307
147,2060043200,104,-,0,,sn_si-kg,5,999,,,00000,206,,37.403174276290656,127.11943713664323
148,2060047400,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.408358651052936,127.1187032305121
149,2060044800,101,º¸¶ã»ç°Å¸®,1,,sn_si-kg,5,999,,,00000,206,,37.405438151326166,127.12158123097765
150,2060053400,101,»ç¼Û±³»ï°Å¸®,0,,sn_si-kg,5,999,,,00000,206,,37.4130944637721,127.12079282413288
151,2060054400,101,»ç¼Û±³»ç°Å¸®,0,,sn_si-kg,5,999,,,00000,206,,37.41382808931479,127.12251407433632
152,2060048200,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.40871158908402,127.1210582302516
153,2060042500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.39920633889432,127.1214706998037
154,2060051300,102,¼º³²Ã¼À°È¸°ü,0,,sn_si-kg,5,999,,,00000,206,,37.411381713960566,127.11951988686042
155,2060048500,103,-,0,,sn_si-kg,5,999,,,00000,206,,37.40943071395833,127.120321918434
156,2060043900,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.40494865124498,127.12158335607569
157,2060042900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.39971527602256,127.12143276190386
158,2060001600,101,È¿ÀÚÃÌ»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37940565101252,127.13605235575017
159,2060039100,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.38891093267847,127.14165429292518
160,2060039900,102,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.390494244869046,127.13554344919885
161,2060034500,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38317171399564,127.13845035567317
162,2060031500,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.379645244790254,127.13638201213257
163,2060030000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37798399555402,127.13827432417781
164,2060039200,102,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.388929432631926,127.15651444911907
165,2060039400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38922215116065,127.13827229350863
166,2060039600,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.38985352648655,127.13979373054485
167,2060035000,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.38377171377459,127.15047669958926
168,2060031300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.379569526371995,127.15266182459197
