,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,Shape_len
1468,218741,2060007000,2060003500,2060003400,0,0,105,000,57,¿îÁß·Î,0,000,0,0,0,0,,5,,,OEXT2060003500,OEXT2060003400,OEXT2060007000,,sn_si-kg,206,00000,,0.000945869039197
1469,218742,2060007600,2060003600,2060003700,0,0,105,000,23,´ë¿ÕÆÇ±³·Î,0,000,0,0,0,0,,5,,,OEXT2060003600,OEXT2060003700,OEXT2060007600,,sn_si-kg,206,00000,,0.00122186800498
1470,218743,2060002400,2060001000,2060001100,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001000,OEXT2060001100,OEXT2060002400,,sn_si-kg,206,00000,,0.000187452978649
1471,218744,2060001400,2060000600,2060000700,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060000600,OEXT2060000700,OEXT2060001400,,sn_si-kg,206,00000,,0.0070287949334
1472,218745,2060001000,2060000500,2060000600,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060000500,OEXT2060000600,OEXT2060001000,,sn_si-kg,206,00000,,0.00374586146976
1473,218746,2060002000,2060000800,2060000900,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060000800,OEXT2060000900,OEXT2060002000,,sn_si-kg,206,00000,,0.00145459073355
1474,218747,2060002800,2060001200,2060001300,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001200,OEXT2060001300,OEXT2060002800,,sn_si-kg,206,00000,,0.0030973057737
1475,218748,2060003000,2060001300,2060001400,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001300,OEXT2060001400,OEXT2060003000,,sn_si-kg,206,00000,,0.00331909516192
1476,218749,2060003200,2060001400,2060001500,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001400,OEXT2060001500,OEXT2060003200,,sn_si-kg,206,00000,,0.00230693270668
1477,218750,2060002600,2060001100,2060001200,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001100,OEXT2060001200,OEXT2060002600,,sn_si-kg,206,00000,,0.00233748317259
1478,218751,2060001800,2060000700,2060000800,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060000700,OEXT2060000800,OEXT2060001800,,sn_si-kg,206,00000,,0.000884604842723
1479,218752,2060003400,2060001500,2060001600,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001500,OEXT2060001600,OEXT2060003400,,sn_si-kg,206,00000,,0.00240124576256
1480,218753,2060006900,2060003400,2060003500,0,0,105,000,57,¿îÁß·Î,0,000,0,0,0,0,,5,,,OEXT2060003400,OEXT2060003500,OEXT2060006900,,sn_si-kg,206,00000,,0.000945550870475
