미추홀구,,,,,,,,,,,,,,,,416542,408862,404343,406789,0.0
연수구,261038.0,259254.0,257564.0,255998.0,271010.0,268780.0,271497.0,279230.0,287903.0,292589.0,300305.0,310703.0,319052.0,328627.0,335142.0,346359,366550,387450,389926,262759.0
남동구,407615.0,403574.0,392478.0,384244.0,390044.0,425217.0,463414.0,473423.0,495469.0,503597.0,507021.0,514656.0,531395.0,530982.0,536578.0,537161,532704,525354,518662,404610.0
부평구,552093.0,558310.0,554027.0,557144.0,570283.0,568905.0,563920.0,567493.0,560936.0,559047.0,556985.0,556992.0,555844.0,549716.0,539941.0,524640,511577,494962,488092,560929.0
계양구,339696.0,341074.0,340175.0,337103.0,342335.0,342564.0,344039.0,347810.0,344299.0,342202.0,343806.0,339538.0,334332.0,330284.0,323784.0,312680,303471,296750,294852,340792.0
강화군,66860.0,65698.0,65044.0,65114.0,65510.0,66466.0,67049.0,67104.0,66779.0,66752.0,66735.0,67118.0,67667.0,68010.0,68754.0,68896,69178,69203,69351,65673.0
옹진군,14050.0,14120.0,14270.0,14820.0,16491.0,16980.0,18221.0,18739.0,19485.0,20039.0,20698.0,20703.0,20962.0,21351.0,21573.0,21036,20566,20455,20404,15524.0
광산구,263032.0,275301.0,286982.0,296101.0,311621.0,316101.0,342936.0,363239.0,375509.0,385101.0,392875.0,397281.0,400753.0,403049.0,404131.0,404547,405315,405579,404579,300651.0
유성구,171732.0,187346.0,193974.0,203478.0,243130.0,250523.0,266585.0,281692.0,294353.0,306312.0,313968.0,327461.0,335312.0,343222.0,348428.0,349790,349373,351047,350284,218351.0
대덕구,230939.0,229926.0,229208.0,226947.0,217332.0,213275.0,208147.0,207549.0,205339.0,205688.0,204360.0,201558.0,196839.0,192688.0,186902.0,181991,177031,176384,174662,219210.0
울주군,170265.0,171321.0,173843.0,174350.0,177103.0,183261.0,195399.0,201000.0,204680.0,207840.0,208646.0,214392.0,219429.0,219255.0,220718.0,221842,223167,222538,222030,177648.0
세종시,,,,,,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126,340575,355831,368276,0.0
수원시,974866.0,1019711.0,1032944.0,1033829.0,1068906.0,1067702.0,1073149.0,1077535.0,1088489.0,1120258.0,1148157.0,1174228.0,1184624.0,1194041.0,1202628.0,1201166,1194465,1186078,1185276,1045285.0
장안구,323368.0,346336.0,285539.0,283770.0,289490.0,287474.0,290798.0,293692.0,290999.0,291757.0,300908.0,301196.0,299016.0,296479.0,293828.0,286433,278377,273661,273854,293022.0
권선구,328962.0,328786.0,287059.0,287081.0,307072.0,310553.0,304097.0,306783.0,321176.0,332633.0,331773.0,339835.0,351053.0,358393.0,365653.0,377647,371754,368645,364416,301366.0
팔달구,322536.0,344589.0,216031.0,220842.0,217794.0,216945.0,219833.0,216503.0,209772.0,206794.0,204805.0,203479.0,199180.0,198515.0,193311.0,180974,175866,174930,182600,230262.0
영통구,,,244315.0,242136.0,254550.0,252730.0,258421.0,260557.0,266542.0,289074.0,310671.0,329718.0,335375.0,340654.0,349836.0,356112,368468,368842,364406,190792.0
성남시,932780.0,940974.0,962048.0,977166.0,964831.0,953960.0,962726.0,980190.0,979323.0,978615.0,979534.0,974608.0,971424.0,974580.0,967510.0,954347,942724,940064,931319,958167.0
수정구,257575.0,259763.0,260244.0,262170.0,259427.0,256744.0,242161.0,241070.0,236123.0,233997.0,228167.0,223539.0,219531.0,232841.0,236932.0,234133,234678,241701,235980,255470.0
중원구,273728.0,273671.0,274874.0,272105.0,264971.0,263101.0,259877.0,258093.0,254872.0,253883.0,256349.0,251982.0,250004.0,237909.0,230366.0,224885,220041,216131,212478,267002.0
분당구,401477.0,407540.0,426930.0,442891.0,440433.0,434115.0,460688.0,481027.0,488328.0,490735.0,495018.0,499087.0,501889.0,503830.0,500212.0,495329,488005,482232,482861,432326.0
의정부시,367171.0,378424.0,394803.0,397612.0,410938.0,421853.0,431008.0,431801.0,430400.0,429147.0,430976.0,431112.0,433937.0,438457.0,441584.0,447026,451868,461710,463665,402392.0
안양시,591670.0,595142.0,604505.0,621047.0,624280.0,624197.0,616547.0,621714.0,615642.0,611412.0,607877.0,600809.0,597789.0,597414.0,587764.0,576831,567044,550027,547258,612194.0
만안구,261508.0,269302.0,266852.0,265601.0,267612.0,265881.0,262258.0,266261.0,263077.0,253492.0,250246.0,247315.0,247270.0,252353.0,254977.0,251512,244235,239413,239203,265834.0
동안구,330162.0,325840.0,337653.0,355446.0,356668.0,358316.0,354289.0,355453.0,352565.0,357920.0,357631.0,353494.0,350519.0,345061.0,332787.0,325319,322809,310614,308055,345707.0
부천시,781091.0,816499.0,844256.0,855697.0,860020.0,864037.0,869944.0,875204.0,872452.0,869944.0,863720.0,855586.0,848987.0,851380.0,850329.0,843768,829996,818383,808047,848375.0
광명시,336309.0,340807.0,336083.0,331419.0,313372.0,313019.0,314257.0,343982.0,355226.0,355560.0,353100.0,348560.0,344978.0,339484.0,332790.0,326841,316552,298599,294458,322590.0
평택시,358263.0,358531.0,364979.0,370653.0,396765.0,402458.0,410042.0,419457.0,426886.0,434305.0,442034.0,449555.0,460532.0,470832.0,481530.0,495642,513027,537307,559363,380108.0
동두천시,74266.0,73177.0,74735.0,79214.0,85803.0,88780.0,93211.0,95653.0,96253.0,97175.0,97557.0,97595.0,97974.0,98277.0,97071.0,96226,94768,94353,93508,81088.0
안산시,590598.0,628861.0,651625.0,666784.0,698819.0,705040.0,705346.0,714891.0,715586.0,715108.0,713666.0,707876.0,697885.0,689859.0,677710.0,660343,650918,654915,654117,670460.0
상록구,,338133.0,346525.0,350368.0,369527.0,373969.0,374055.0,379136.0,380880.0,381556.0,382571.0,381508.0,379517.0,375857.0,370744.0,356311,344613,351888,351747,356032.0
단원구,,290728.0,305100.0,316416.0,329292.0,331071.0,331291.0,335755.0,334706.0,333552.0,331095.0,326368.0,318368.0,314002.0,306966.0,304032,306305,303027,302370,314393.0
고양시,811467.0,836664.0,865077.0,886000.0,910206.0,924839.0,938784.0,950115.0,961239.0,969916.0,990571.0,1006154.0,1027546.0,1039684.0,1041983.0,1044189,1066351,1079216,1080240,886832.0
덕양구,371375.0,377046.0,380711.0,385784.0,381105.0,378260.0,388777.0,394375.0,391832.0,396559.0,410491.0,424423.0,441988.0,446233.0,448684.0,450449,466157,476962,481840,381163.0
일산동구,,,,,239632.0,256493.0,261943.0,269292.0,278095.0,281949.0,283976.0,284207.0,285658.0,292612.0,293673.0,296223,297671,299716,299757,102188.0
일산서구,,,,,289469.0,290086.0,288064.0,286448.0,291312.0,291408.0,296104.0,297524.0,299900.0,300839.0,299626.0,297517,302523,302538,298643,116795.0
과천시,71201.0,70488.0,70324.0,68333.0,60482.0,62291.0,72049.0,72279.0,71955.0,71068.0,70578.0,70156.0,68946.0,63778.0,57527.0,58142,58289,63231,69910,66489.0
구리시,184816.0,193214.0,192947.0,193438.0,193847.0,196800.0,195593.0,196398.0,194881.0,192341.0,189680.0,186820.0,186721.0,193763.0,200042.0,203553,199265,197454,193014,194038.0
남양주시,375041.0,392614.0,403755.0,418360.0,470617.0,492347.0,525211.0,564141.0,578485.0,599539.0,618305.0,636256.0,653454.0,662154.0,665321.0,681828,701830,713321,729918,441095.0
오산시,114540.0,115956.0,118167.0,121326.0,136311.0,145825.0,159734.0,182516.0,193892.0,200291.0,205460.0,208565.0,206828.0,208656.0,213437.0,220070,226379,229725,230403,129808.0
시흥시,337402.0,353860.0,368223.0,378613.0,390477.0,390564.0,397912.0,403797.0,401149.0,399485.0,396765.0,394639.0,398256.0,402888.0,419664.0,448687,473682,500895,511888,377052.0
군포시,269080.0,268559.0,273765.0,275761.0,274569.0,275351.0,275731.0,287833.0,287294.0,286841.0,286344.0,288408.0,287519.0,284890.0,281205.0,276916,275852,273791,269215,273477.0
의왕시,124191.0,133395.0,143388.0,145535.0,138253.0,135009.0,140874.0,147443.0,149607.0,154757.0,159772.0,158482.0,157740.0,156763.0,155767.0,153932,161153,163795,163704,138574.0
하남시,123659.0,127541.0,128326.0,129903.0,134824.0,137131.0,148566.0,150479.0,148397.0,146269.0,145096.0,148896.0,166713.0,211101.0,232487.0,254415,272455,293452,314866,133005.0
용인시,451670.0,525622.0,575255.0,640452.0,766569.0,800294.0,839204.0,876550.0,896044.0,915959.0,941477.0,961026.0,975746.0,991126.0,1004081.0,1035126,1059609,1074176,1079609,668540.0
